Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 3 [8000/49000 (16%)]	Train Loss: 0.145153	Val Loss: 0.002721	Val Acc: 90.4
Train Epoch: 3 [10000/49000 (20%)]	Train Loss: 0.143146	Val Loss: 0.002198	Val Acc: 91.8
Train Epoch: 3 [12000/49000 (24%)]	Train Loss: 0.319299	Val Loss: 0.002459	Val Acc: 91.0
Train Epoch: 3 [14000/49000 (29%)]	Train Loss: 0.140292	Val Loss: 0.002204	Val Acc: 91.8
Train Epoch: 3 [16000/49000 (33%)]	Train Loss: 0.175471	Val Loss: 0.002297	Val Acc: 91.6
Train Epoch: 3 [18000/49000 (37%)]	Train Loss: 0.199362	Val Loss: 0.002033	Val Acc: 92.2
Train Epoch: 3 [20000/49000 (41%)]	Train Loss: 0.276893	Val Loss: 0.002434	Val Acc: 90.8
Train Epoch: 3 [22000/49000 (45%)]	Train Loss: 0.193769	Val Loss: 0.002480	Val Acc: 91.4
Train Epoch: 3 [24000/49000 (49%)]	Train Loss: 0.224262	Val Loss: 0.002618	Val Acc: 90.4
Train Epoch: 3 [26000/49000 (53%)]	Train Loss: 0.135557	Val Loss: 0.002259	Val Acc: 93.6
Train Epoch: 3 [28000/49000 (57%)]	Train Loss: 0.148181	Val Loss: 0.001998	Val Acc: 93.0
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 0.134378	Val Loss: 0.001973	Val Acc: 92.6
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 0.095729	Val Loss: 0.002169	Val Acc: 91.6
Train Epoch: 3 [34000/49000 (69%)]	Train Loss: 0.215138	Val Loss: 0.002024	Val Acc: 92.4
Train Epoch: 3 [36000/49000 (73%)]	Train Loss: 0.103581	Val Loss: 0.002365	Val Acc: 91.6
Train Epoch: 3 [38000/49000 (78%)]	Train Loss: 0.234465	Val Loss: 0.002077	Val Acc: 93.0
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 0.134798	Val Loss: 0.002109	Val Acc: 92.8
Train Epoch: 3 [42000/49000 (86%)]	Train Loss: 0.215158	Val Loss: 0.002080	Val Acc: 92.6
